Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub048_2drt_01_vcv1_r1_video,0.1255,28.8117,0.8937,0.1927,25.0941,0.8347
sub048_2drt_01_vcv1_r2_video,0.1248,28.1729,0.8886,0.1906,24.5004,0.8286
sub048_2drt_02_vcv2_r1_video,0.1248,28.4211,0.8924,0.1913,24.7176,0.8306
sub048_2drt_02_vcv2_r2_video,0.1255,28.5564,0.8905,0.1922,24.8604,0.832
sub048_2drt_03_vcv3_r1_video,0.1258,28.9774,0.8892,0.1925,25.2932,0.8354
sub048_2drt_03_vcv3_r2_video,0.1255,28.441,0.8895,0.1918,24.7584,0.8312
sub049_2drt_01_vcv1_r1_video,0.1226,29.0216,0.8933,0.1932,25.0798,0.8276
sub049_2drt_01_vcv1_r2_video,0.1221,28.4502,0.8879,0.192,24.5257,0.8199
sub049_2drt_02_vcv2_r1_video,0.1226,28.5158,0.8908,0.1919,24.6222,0.8245
sub049_2drt_02_vcv2_r2_video,0.1213,27.5998,0.8829,0.1885,23.7777,0.8146
sub049_2drt_03_vcv3_r1_video,0.1221,28.1006,0.8873,0.1905,24.2457,0.8205
sub049_2drt_03_vcv3_r2_video,0.1213,28.4163,0.8893,0.1916,24.4522,0.8206
sub050_2drt_01_vcv1_r1_video,0.1256,29.1214,0.8865,0.1965,25.2415,0.8266
sub050_2drt_01_vcv1_r2_video,0.1219,28.5013,0.875,0.1954,24.4025,0.8051
sub050_2drt_02_vcv2_r1_video,0.1241,28.3326,0.8851,0.1936,24.48,0.8214
sub050_2drt_02_vcv2_r2_video,0.1234,28.0318,0.8781,0.1916,24.2146,0.8151
sub050_2drt_03_vcv3_r1_video,0.124,28.5271,0.8867,0.1943,24.6314,0.8229
sub050_2drt_03_vcv3_r2_video,0.1235,28.4113,0.8774,0.1943,24.4762,0.8146
