Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub041_2drt_01_vcv1_r2_video,0.1354,29.6857,0.9033,0.1957,26.4927,0.8555
sub041_2drt_02_vcv2_r1_video,0.1346,30.2347,0.9093,0.1967,26.9475,0.8591
sub041_2drt_02_vcv2_r2_video,0.1338,29.904,0.9069,0.1961,26.5982,0.8565
sub041_2drt_03_vcv3_r1_video,0.1348,29.9988,0.9061,0.1962,26.7512,0.8592
sub041_2drt_03_vcv3_r2_video,0.134,29.8216,0.9066,0.196,26.5272,0.8573
sub042_2drt_01_vcv1_r1_video,0.1269,28.0127,0.8924,0.194,24.3374,0.8308
sub042_2drt_01_vcv1_r2_video,0.1271,28.2919,0.8901,0.1954,24.5598,0.8303
sub042_2drt_02_vcv2_r1_video,0.1261,28.2442,0.8934,0.1944,24.4912,0.8306
sub042_2drt_02_vcv2_r2_video,0.1263,28.2233,0.892,0.1949,24.4636,0.8292
sub042_2drt_03_vcv3_r1_video,0.1272,28.1687,0.8925,0.1946,24.4806,0.8323
sub042_2drt_03_vcv3_r2_video,0.1267,28.5271,0.8937,0.1959,24.7515,0.8328
sub043_2drt_01_vcv1_r1_video,0.1327,30.3877,0.9204,0.1962,27.0,0.8686
sub043_2drt_01_vcv1_r2_video,0.132,30.3834,0.9196,0.196,26.964,0.8677
sub043_2drt_02_vcv2_r1_video,0.1331,30.3586,0.9214,0.1961,27.0009,0.8689
sub043_2drt_02_vcv2_r2_video,0.1317,29.8807,0.9179,0.1945,26.5108,0.8656
sub043_2drt_03_vcv3_r1_video,0.132,30.5492,0.9229,0.1965,27.1027,0.8681
sub043_2drt_03_vcv3_r2_video,0.1336,30.348,0.9192,0.1963,27.0228,0.8698
sub044_2drt_01_vcv1_r1_video,0.131,28.9354,0.9066,0.1956,25.4575,0.8543
sub044_2drt_01_vcv1_r2_video,0.1308,28.9889,0.9045,0.1955,25.5073,0.852
sub044_2drt_02_vcv2_r1_video,0.1305,29.3863,0.9098,0.1965,25.836,0.8572
sub044_2drt_02_vcv2_r2_video,0.1305,28.8469,0.9057,0.1951,25.3589,0.852
sub044_2drt_03_vcv3_r1_video,0.1301,29.6548,0.9123,0.1969,26.0573,0.8588
sub044_2drt_03_vcv3_r2_video,0.1302,28.9377,0.9049,0.1954,25.417,0.8516
sub045_2drt_01_vcv1_r1_video,0.1252,27.0289,0.8534,0.1952,23.1733,0.797
sub045_2drt_01_vcv1_r2_video,0.1257,26.9382,0.8523,0.1947,23.1447,0.8009
sub045_2drt_02_vcv2_r1_video,0.1241,27.1152,0.8547,0.1953,23.1805,0.7955
sub045_2drt_02_vcv2_r2_video,0.128,26.7581,0.8478,0.1949,23.1116,0.8035
sub045_2drt_03_vcv3_r1_video,0.1257,27.0868,0.8497,0.194,23.3228,0.7976
sub045_2drt_03_vcv3_r2_video,0.1239,27.1421,0.8561,0.1943,23.2408,0.7995
sub046_2drt_01_vcv1_r1_video,0.1334,27.4037,0.8787,0.1935,24.1891,0.8349
sub046_2drt_01_vcv1_r2_video,0.1322,27.4678,0.8821,0.1931,24.1862,0.8361
sub046_2drt_02_vcv2_r1_video,0.1332,27.5014,0.8798,0.1936,24.2567,0.8349
sub046_2drt_02_vcv2_r2_video,0.1334,27.8724,0.8843,0.1942,24.6178,0.8395
sub046_2drt_03_vcv3_r1_video,0.1322,27.5649,0.8815,0.1928,24.2978,0.8344
sub046_2drt_03_vcv3_r2_video,0.1324,27.5406,0.8842,0.1932,24.2717,0.8373
sub047_2drt_01_vcv1_r1_video,0.1287,29.8828,0.9054,0.1945,26.3087,0.857
sub047_2drt_01_vcv1_r2_video,0.1276,30.0627,0.9082,0.1948,26.3927,0.8557
sub047_2drt_02_vcv2_r1_video,0.1281,30.2297,0.9096,0.1952,26.5816,0.8599
sub047_2drt_02_vcv2_r2_video,0.127,29.1505,0.9017,0.1923,25.5577,0.8477
sub047_2drt_03_vcv3_r1_video,0.1274,30.3062,0.9115,0.1954,26.5979,0.8588
sub047_2drt_03_vcv3_r2_video,0.1274,30.2071,0.9077,0.1952,26.5151,0.8568
