Video Name,Method,Metric,Noise,Denoised,Time Taken (s)
sub001_2drt_01_vcv1_r1_video,Anisotropic,SSIM,0.8536,0.8927,51.22
sub001_2drt_01_vcv1_r1_video,Bilateral,NRMSE,0.1954,0.18,5.3
sub001_2drt_01_vcv1_r1_video,Bilateral,PSNR,25.3017,26.0138,5.3
sub001_2drt_01_vcv1_r1_video,Bilateral,SSIM,0.8536,0.7886,5.3
sub001_2drt_01_vcv1_r1_video,GSA,NRMSE,0.1954,0.2986,78.74
sub001_2drt_01_vcv1_r1_video,GSA,PSNR,25.3017,25.421,78.74
sub001_2drt_01_vcv1_r1_video,GSA,SSIM,0.8536,0.8666,78.74
sub001_2drt_01_vcv1_r1_video,JBL,NRMSE,0.1954,0.0714,8.99
sub001_2drt_01_vcv1_r1_video,JBL,PSNR,25.3017,34.0385,8.99
sub001_2drt_01_vcv1_r1_video,JBL,SSIM,0.8536,0.9684,8.99
