Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub031_2drt_01_vcv1_r1_video,0.1267,29.3734,0.9064,0.1938,25.6921,0.8512
sub031_2drt_01_vcv1_r2_video,0.1262,29.596,0.9024,0.1953,25.8099,0.8471
sub031_2drt_02_vcv2_r1_video,0.1265,29.4558,0.9061,0.1941,25.7491,0.8502
sub031_2drt_02_vcv2_r2_video,0.1263,29.4116,0.9022,0.1945,25.6651,0.8475
sub031_2drt_03_vcv3_r1_video,0.1278,29.6352,0.9038,0.1952,25.9612,0.8516
sub031_2drt_03_vcv3_r2_video,0.1267,29.7483,0.9055,0.1959,25.9723,0.8503
sub032_2drt_01_vcv1_r1_video,0.1252,28.7872,0.8867,0.1941,24.9887,0.8193
sub032_2drt_01_vcv1_r2_video,0.1253,27.7586,0.8839,0.1898,24.1523,0.8189
sub032_2drt_02_vcv2_r1_video,0.1263,28.5842,0.8878,0.1939,24.8741,0.8226
sub032_2drt_02_vcv2_r2_video,0.1258,27.8293,0.8834,0.1906,24.2228,0.8194
sub032_2drt_03_vcv3_r1_video,0.1261,28.3341,0.8868,0.1929,24.652,0.8216
sub032_2drt_03_vcv3_r2_video,0.1262,28.1777,0.8853,0.1924,24.5182,0.8216
sub033_2drt_01_vcv1_r1_video,0.1268,28.4762,0.8896,0.1964,24.68,0.8215
sub033_2drt_01_vcv1_r2_video,0.1244,28.5807,0.892,0.1954,24.6616,0.8192
sub033_2drt_02_vcv2_r1_video,0.1256,28.347,0.8903,0.1953,24.5166,0.8205
sub033_2drt_02_vcv2_r2_video,0.1267,28.2685,0.8886,0.1954,24.5059,0.8225
sub033_2drt_03_vcv3_r1_video,0.1261,28.7488,0.8898,0.1966,24.8941,0.8223
sub033_2drt_03_vcv3_r2_video,0.1236,27.59,0.8863,0.1916,23.7871,0.8142
sub034_2drt_01_vcv1_r1_video,0.1342,29.1548,0.9016,0.1972,25.8223,0.8502
sub034_2drt_01_vcv1_r2_video,0.1336,29.1198,0.9037,0.197,25.7564,0.8508
sub034_2drt_02_vcv2_r1_video,0.1342,29.1006,0.9016,0.1969,25.7792,0.849
sub034_2drt_02_vcv2_r2_video,0.1327,29.1707,0.9047,0.1965,25.7771,0.85
sub034_2drt_03_vcv3_r1_video,0.1349,28.9561,0.899,0.1969,25.681,0.8489
sub034_2drt_03_vcv3_r2_video,0.1337,29.1302,0.9031,0.1968,25.7784,0.8503
sub035_2drt_01_vcv1_r1_video,0.1258,30.6586,0.9221,0.1946,26.8841,0.8552
sub035_2drt_01_vcv1_r2_video,0.1219,31.1891,0.9224,0.1954,27.1015,0.8485
sub035_2drt_02_vcv2_r1_video,0.1262,30.7009,0.9219,0.1949,26.9473,0.8564
sub035_2drt_02_vcv2_r2_video,0.1237,30.9081,0.9198,0.1951,26.9537,0.8512
sub035_2drt_03_vcv3_r1_video,0.1248,30.7681,0.9231,0.195,26.8993,0.8528
sub035_2drt_03_vcv3_r2_video,0.1235,31.2119,0.9224,0.1953,27.2402,0.8538
sub036_2drt_01_vcv1_r1_video,0.1339,28.5663,0.9064,0.1919,25.452,0.8634
sub036_2drt_01_vcv1_r2_video,0.1324,27.8281,0.9013,0.189,24.7496,0.8588
sub036_2drt_02_vcv2_r1_video,0.1323,28.156,0.9043,0.1901,25.0216,0.8608
sub036_2drt_02_vcv2_r2_video,0.1319,27.866,0.903,0.1892,24.7436,0.8592
sub036_2drt_03_vcv3_r1_video,0.1335,28.3646,0.9051,0.1914,25.2483,0.8633
sub036_2drt_03_vcv3_r2_video,0.1329,28.635,0.9066,0.1918,25.4604,0.8637
sub037_2drt_01_vcv1_r1_video,0.1251,27.9688,0.8814,0.1956,24.0931,0.8027
sub037_2drt_01_vcv1_r2_video,0.1275,28.657,0.8914,0.1971,24.8779,0.8201
sub037_2drt_02_vcv2_r1_video,0.1256,28.4625,0.8849,0.1969,24.5632,0.8064
sub037_2drt_02_vcv2_r2_video,0.1278,27.9755,0.8862,0.1954,24.2891,0.8165
