Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub037_2drt_03_vcv3_r1_video,0.1256,27.9817,0.8812,0.1955,24.139,0.8042
sub037_2drt_03_vcv3_r2_video,0.1272,28.1637,0.8889,0.1956,24.4317,0.8176
sub038_2drt_01_vcv1_r1_video,0.1318,28.7872,0.8968,0.1956,25.3685,0.8413
sub038_2drt_01_vcv1_r2_video,0.1305,28.5004,0.8939,0.1946,25.0304,0.837
sub038_2drt_02_vcv2_r1_video,0.1329,29.3182,0.8998,0.1973,25.8969,0.8465
sub038_2drt_02_vcv2_r2_video,0.1308,29.038,0.8988,0.1961,25.5231,0.8422
sub038_2drt_03_vcv3_r1_video,0.131,28.8608,0.8987,0.1958,25.3758,0.8423
sub038_2drt_03_vcv3_r2_video,0.131,28.8059,0.8968,0.1959,25.3211,0.8409
sub039_2drt_01_vcv1_r1_video,0.1299,28.3197,0.9007,0.1939,24.8519,0.8458
sub039_2drt_01_vcv1_r2_video,0.13,28.9938,0.9046,0.1954,25.4601,0.8503
sub039_2drt_02_vcv2_r1_video,0.1318,29.2399,0.9061,0.1968,25.7656,0.8544
sub039_2drt_02_vcv2_r2_video,0.1309,29.2029,0.9063,0.1964,25.685,0.8538
sub039_2drt_03_vcv3_r1_video,0.1314,28.6487,0.9027,0.1947,25.2383,0.8512
sub039_2drt_03_vcv3_r2_video,0.131,28.9307,0.9043,0.1954,25.4628,0.8521
sub040_2drt_01_vcv1_r1_video,0.1289,27.9459,0.876,0.1942,24.3912,0.8244
sub040_2drt_01_vcv1_r2_video,0.1262,27.493,0.8732,0.1916,23.8677,0.8152
sub040_2drt_02_vcv2_r1_video,0.1286,28.0251,0.8759,0.1944,24.4426,0.8239
sub040_2drt_02_vcv2_r2_video,0.1282,27.9622,0.8752,0.1941,24.3665,0.8217
sub040_2drt_03_vcv3_r1_video,0.1272,27.8857,0.8772,0.1933,24.2584,0.8215
sub040_2drt_03_vcv3_r2_video,0.127,27.9244,0.877,0.1939,24.2579,0.8185
