Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub021_2drt_01_vcv1_r1_video,0.1348,30.5329,0.9207,0.1962,27.2798,0.8741
sub021_2drt_01_vcv1_r2_video,0.1363,30.0059,0.9146,0.1947,26.9151,0.8718
sub021_2drt_02_vcv2_r1_video,0.1349,30.2044,0.9174,0.1953,27.0041,0.8716
sub021_2drt_02_vcv2_r2_video,0.1355,30.2338,0.9162,0.1957,27.0606,0.8721
sub021_2drt_03_vcv3_r1_video,0.136,29.9425,0.9161,0.1945,26.8441,0.873
sub021_2drt_03_vcv3_r2_video,0.1358,30.6098,0.9192,0.1966,27.4067,0.875
sub022_2drt_01_vcv1_r1_video,0.1265,28.7856,0.8928,0.1959,24.9943,0.8246
sub022_2drt_01_vcv1_r2_video,0.1264,28.9041,0.8919,0.1959,25.105,0.8254
sub022_2drt_02_vcv2_r1_video,0.1267,28.5525,0.8897,0.1955,24.7906,0.822
sub022_2drt_02_vcv2_r2_video,0.1277,28.9631,0.8933,0.1961,25.244,0.8299
sub022_2drt_03_vcv3_r1_video,0.1269,28.5256,0.8915,0.1953,24.7875,0.824
sub022_2drt_03_vcv3_r2_video,0.1268,28.4682,0.8915,0.1941,24.7747,0.8258
sub023_2drt_01_vcv1_r1_video,0.126,28.625,0.8822,0.1944,24.8668,0.8317
sub023_2drt_01_vcv1_r2_video,0.1239,27.8037,0.8803,0.1912,24.0425,0.8277
sub023_2drt_02_vcv2_r1_video,0.1245,28.1148,0.8801,0.1927,24.325,0.8257
sub023_2drt_02_vcv2_r2_video,0.1247,28.0906,0.8798,0.192,24.3464,0.8282
sub023_2drt_03_vcv3_r1_video,0.1241,27.9882,0.8792,0.1925,24.1812,0.8244
sub023_2drt_03_vcv3_r2_video,0.1261,28.3454,0.8787,0.1933,24.6446,0.8297
sub024_2drt_01_vcv1_r1_video,0.1311,29.9318,0.9025,0.1968,26.41,0.853
sub024_2drt_01_vcv1_r2_video,0.1297,29.1312,0.8964,0.1954,25.5876,0.8431
sub024_2drt_02_vcv2_r1_video,0.1306,29.7684,0.9021,0.1966,26.224,0.8501
sub024_2drt_02_vcv2_r2_video,0.1299,29.0873,0.8977,0.1945,25.5854,0.8456
sub024_2drt_03_vcv3_r1_video,0.1301,29.6477,0.9018,0.1963,26.0932,0.8494
sub024_2drt_03_vcv3_r2_video,0.1301,28.9392,0.8972,0.1953,25.4213,0.844
sub025_2drt_01_vcv1_r1_video,0.1214,29.0908,0.886,0.1973,24.8773,0.8156
sub025_2drt_01_vcv1_r2_video,0.1196,28.5577,0.8842,0.1949,24.3191,0.809
sub025_2drt_02_vcv2_r1_video,0.1213,29.1175,0.8871,0.1969,24.9132,0.8158
sub025_2drt_02_vcv2_r2_video,0.1206,28.6905,0.8828,0.1957,24.4887,0.8073
sub025_2drt_03_vcv3_r1_video,0.1209,28.7372,0.8844,0.1959,24.5508,0.8111
sub025_2drt_03_vcv3_r2_video,0.1209,28.7589,0.8828,0.1963,24.5494,0.8043
sub026_2drt_01_vcv1_r1_video,0.1338,29.475,0.9111,0.1925,26.3261,0.8617
sub026_2drt_01_vcv1_r2_video,0.1349,29.6981,0.9123,0.1931,26.589,0.8628
sub026_2drt_02_vcv2_r1_video,0.1323,30.1012,0.9154,0.1945,26.7593,0.8611
sub026_2drt_02_vcv2_r2_video,0.1351,29.9993,0.9127,0.194,26.8651,0.8638
sub026_2drt_03_vcv3_r1_video,0.1332,29.7731,0.9105,0.1941,26.5151,0.8612
sub026_2drt_03_vcv3_r2_video,0.1351,29.7621,0.9114,0.1936,26.6464,0.862
sub027_2drt_01_vcv1_r1_video,0.1281,27.9772,0.8813,0.1914,24.4978,0.8211
sub027_2drt_01_vcv1_r2_video,0.1268,27.6431,0.8809,0.1895,24.1621,0.8159
sub027_2drt_02_vcv2_r1_video,0.1282,27.6487,0.8793,0.1903,24.2331,0.821
sub027_2drt_02_vcv2_r2_video,0.1317,28.0866,0.8835,0.1912,24.8568,0.8285
sub027_2drt_03_vcv3_r1_video,0.1282,28.0136,0.8806,0.1916,24.5339,0.8212
sub027_2drt_03_vcv3_r2_video,0.1327,28.1015,0.8832,0.1913,24.9415,0.8286
sub028_2drt_01_vcv1_r1_video,0.1262,28.7404,0.8908,0.1963,24.9074,0.8349
sub028_2drt_01_vcv1_r2_video,0.1251,28.869,0.8896,0.1961,24.9677,0.8307
sub028_2drt_02_vcv2_r1_video,0.1258,28.5556,0.8896,0.1954,24.7384,0.8325
sub028_2drt_02_vcv2_r2_video,0.1246,28.7157,0.889,0.1958,24.7993,0.8299
sub028_2drt_03_vcv3_r1_video,0.1252,28.5967,0.8889,0.1956,24.7314,0.8302
sub028_2drt_03_vcv3_r2_video,0.1255,29.0035,0.8911,0.1967,25.1041,0.8329
sub029_2drt_01_vcv1_r1_video,0.1259,26.1672,0.8471,0.1929,22.4692,0.793
sub029_2drt_01_vcv1_r2_video,0.125,26.3468,0.8485,0.1935,22.5589,0.7909
sub029_2drt_02_vcv2_r1_video,0.1259,26.5373,0.8494,0.1943,22.7754,0.794
sub029_2drt_02_vcv2_r2_video,0.1266,26.1855,0.8436,0.1931,22.5203,0.7927
sub029_2drt_03_vcv3_r1_video,0.1256,26.1421,0.8474,0.1928,22.4246,0.7932
sub029_2drt_03_vcv3_r2_video,0.1256,26.0155,0.8439,0.1921,22.3278,0.7915
sub030_2drt_01_vcv1_r1_video,0.1298,29.2077,0.8972,0.1968,25.5923,0.8515
sub030_2drt_01_vcv1_r2_video,0.1296,29.1999,0.8974,0.196,25.6092,0.8516
sub030_2drt_02_vcv2_r1_video,0.1294,29.0723,0.8967,0.1962,25.4633,0.8514
sub030_2drt_02_vcv2_r2_video,0.1303,28.8517,0.8919,0.1958,25.3208,0.8478
sub030_2drt_03_vcv3_r1_video,0.1305,28.9732,0.8933,0.1961,25.4418,0.8507
sub030_2drt_03_vcv3_r2_video,0.1314,28.5193,0.8912,0.1951,25.0966,0.8525
