Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub011_2drt_01_vcv1_r1_video,0.1299,30.3845,0.9178,0.1947,26.8741,0.8599
sub011_2drt_01_vcv1_r2_video,0.1291,30.3936,0.9168,0.1952,26.8192,0.8589
sub011_2drt_02_vcv2_r1_video,0.1279,30.165,0.9167,0.1938,26.5659,0.8552
sub011_2drt_02_vcv2_r2_video,0.1272,30.3967,0.9172,0.1948,26.7041,0.8557
sub011_2drt_03_vcv3_r1_video,0.1296,30.6466,0.9182,0.1958,27.0673,0.8607
sub011_2drt_03_vcv3_r2_video,0.1279,30.554,0.9183,0.1956,26.8689,0.8574
sub012_2drt_01_vcv1_r1_video,0.1313,28.8034,0.8979,0.192,25.5131,0.8418
sub012_2drt_01_vcv1_r2_video,0.13,28.9749,0.8982,0.1925,25.5783,0.8406
sub012_2drt_02_vcv2_r1_video,0.1304,28.7555,0.8987,0.1915,25.426,0.8408
sub012_2drt_02_vcv2_r2_video,0.13,28.9824,0.8965,0.1925,25.579,0.8387
sub012_2drt_03_vcv3_r1_video,0.1303,28.7262,0.8989,0.1916,25.393,0.8406
sub012_2drt_03_vcv3_r2_video,0.1297,29.1285,0.8981,0.193,25.6936,0.8394
sub013_2drt_01_vcv1_r1_video,0.125,28.9656,0.8965,0.1954,25.087,0.8296
sub013_2drt_01_vcv1_r2_video,0.125,28.8936,0.8954,0.1945,25.0635,0.8306
sub013_2drt_02_vcv2_r1_video,0.1269,29.0488,0.8941,0.1962,25.2715,0.8332
sub013_2drt_02_vcv2_r2_video,0.1255,28.8121,0.8951,0.1945,25.0168,0.8318
sub013_2drt_03_vcv3_r1_video,0.1253,28.9418,0.8973,0.195,25.1055,0.832
sub013_2drt_03_vcv3_r2_video,0.1254,29.1028,0.8931,0.1952,25.267,0.8314
sub014_2drt_01_vcv1_r1_video,0.1265,29.1524,0.8942,0.195,25.4027,0.8312
sub014_2drt_01_vcv1_r2_video,0.1273,28.4646,0.889,0.1925,24.8864,0.824
sub014_2drt_02_vcv2_r1_video,0.1261,28.8831,0.8924,0.1939,25.1537,0.83
sub014_2drt_02_vcv2_r2_video,0.129,29.3448,0.8932,0.1953,25.7505,0.832
sub014_2drt_03_vcv3_r1_video,0.126,29.1949,0.8961,0.1948,25.4204,0.8326
sub014_2drt_03_vcv3_r2_video,0.1271,28.7731,0.8905,0.1934,25.1288,0.8256
sub015_2drt_01_vcv1_r1_video,0.129,28.4823,0.904,0.1918,25.0553,0.8553
sub015_2drt_01_vcv1_r2_video,0.1304,28.8754,0.9026,0.1938,25.4498,0.8564
sub015_2drt_02_vcv2_r1_video,0.1315,28.9577,0.9042,0.194,25.59,0.8594
sub015_2drt_02_vcv2_r2_video,0.1304,28.6915,0.9032,0.1929,25.2942,0.8572
sub015_2drt_03_vcv3_r1_video,0.132,28.8204,0.9026,0.1937,25.4962,0.8589
sub015_2drt_03_vcv3_r2_video,0.1295,28.4569,0.9025,0.1918,25.0587,0.8551
sub016_2drt_01_vcv1_r1_video,0.1308,29.7636,0.9189,0.1928,26.3991,0.8696
sub016_2drt_01_vcv1_r2_video,0.1328,29.9669,0.9179,0.1948,26.6517,0.8709
sub016_2drt_02_vcv2_r1_video,0.1316,29.8723,0.9202,0.1935,26.5369,0.8724
sub016_2drt_02_vcv2_r2_video,0.1346,29.5216,0.9129,0.1939,26.3596,0.8704
sub016_2drt_03_vcv3_r1_video,0.1325,29.7042,0.919,0.1933,26.44,0.8716
sub016_2drt_03_vcv3_r2_video,0.1328,30.0168,0.9188,0.1948,26.7028,0.8703
sub017_2drt_01_vcv1_r1_video,0.1287,28.9702,0.9006,0.1942,25.3981,0.8377
sub017_2drt_01_vcv1_r2_video,0.1287,29.0542,0.898,0.1949,25.4553,0.8354
sub017_2drt_02_vcv2_r1_video,0.1274,29.0493,0.9005,0.1944,25.3851,0.8345
sub017_2drt_02_vcv2_r2_video,0.128,29.0305,0.8996,0.1948,25.392,0.8357
sub017_2drt_03_vcv3_r1_video,0.1284,29.3518,0.9016,0.1959,25.6896,0.8368
sub017_2drt_03_vcv3_r2_video,0.1281,28.9019,0.8982,0.1942,25.2933,0.8348
sub018_2drt_01_vcv1_r1_video,0.128,30.259,0.9075,0.197,26.5203,0.8462
sub018_2drt_01_vcv1_r2_video,0.1272,30.2226,0.9072,0.1967,26.4445,0.8431
sub018_2drt_02_vcv2_r1_video,0.1283,30.3313,0.9071,0.1972,26.6047,0.8464
sub018_2drt_02_vcv2_r2_video,0.1267,30.2682,0.9086,0.1969,26.4467,0.8419
sub018_2drt_03_vcv3_r1_video,0.1268,30.2065,0.9084,0.1969,26.3979,0.8432
sub018_2drt_03_vcv3_r2_video,0.1265,30.3581,0.9087,0.1971,26.5115,0.8407
sub019_2drt_01_vcv1_r1_video,0.1282,30.4656,0.9211,0.1954,26.8136,0.8666
sub019_2drt_01_vcv1_r2_video,0.1267,30.4339,0.9193,0.1954,26.6833,0.862
sub019_2drt_02_vcv2_r1_video,0.1269,30.5885,0.923,0.1955,26.8498,0.8651
sub019_2drt_02_vcv2_r2_video,0.1239,30.6952,0.9188,0.1961,26.7122,0.8567
sub019_2drt_03_vcv3_r1_video,0.1271,30.3675,0.9214,0.1949,26.6632,0.8631
sub019_2drt_03_vcv3_r2_video,0.1247,30.6737,0.9174,0.1964,26.7369,0.8571
sub020_2drt_01_vcv1_r1_video,0.126,27.9886,0.8818,0.195,24.2004,0.8245
sub020_2drt_01_vcv1_r2_video,0.1264,28.0926,0.8801,0.1949,24.3318,0.8212
sub020_2drt_02_vcv2_r1_video,0.1267,28.1333,0.8821,0.1958,24.3553,0.8255
sub020_2drt_02_vcv2_r2_video,0.1271,28.1256,0.8784,0.1954,24.3928,0.8219
sub020_2drt_03_vcv3_r1_video,0.1266,28.3641,0.8825,0.196,24.5686,0.8256
sub020_2drt_03_vcv3_r2_video,0.1283,28.423,0.8795,0.1962,24.73,0.8256
