Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub001_2drt_01_vcv1_r1_video,0.1324,28.5607,0.8922,0.1955,25.1816,0.8418
sub001_2drt_01_vcv1_r2_video,0.1325,28.7043,0.8926,0.1957,25.3228,0.8454
sub001_2drt_02_vcv2_r1_video,0.133,28.9626,0.8957,0.1965,25.5748,0.8478
sub001_2drt_02_vcv2_r2_video,0.1339,28.6737,0.8937,0.1954,25.3956,0.8489
sub001_2drt_03_vcv3_r1_video,0.1323,28.7634,0.8943,0.1959,25.3634,0.8458
sub001_2drt_03_vcv3_r2_video,0.1328,29.1435,0.8967,0.1966,25.7414,0.8492
sub002_2drt_01_vcv1_r1_video,0.1312,29.6379,0.9098,0.1963,26.1493,0.8548
sub002_2drt_01_vcv1_r2_video,0.1308,29.2631,0.91,0.1952,25.7951,0.8552
sub002_2drt_02_vcv2_r1_video,0.1314,29.4536,0.9088,0.1961,25.993,0.8538
sub002_2drt_02_vcv2_r2_video,0.1314,29.6097,0.9105,0.1964,26.1229,0.8556
sub002_2drt_03_vcv3_r1_video,0.1317,29.5202,0.9088,0.1962,26.0731,0.8534
sub002_2drt_03_vcv3_r2_video,0.1318,29.5296,0.9075,0.1965,26.0652,0.8555
sub003_2drt_01_vcv1_r1_video,0.1306,30.077,0.9178,0.1953,26.589,0.8715
sub003_2drt_01_vcv1_r2_video,0.1305,29.9741,0.9159,0.1949,26.4932,0.8693
sub003_2drt_02_vcv2_r1_video,0.1311,29.6158,0.9158,0.1941,26.2116,0.8705
sub003_2drt_02_vcv2_r2_video,0.1303,30.0011,0.9158,0.1953,26.4974,0.8683
sub003_2drt_03_vcv3_r1_video,0.1315,29.7672,0.9156,0.1949,26.363,0.8717
sub003_2drt_03_vcv3_r2_video,0.1309,29.6671,0.9136,0.1944,26.2445,0.868
sub004_2drt_01_vcv1_r1_video,0.1263,28.0462,0.8802,0.1943,24.3076,0.8205
sub004_2drt_01_vcv1_r2_video,0.125,27.8505,0.8783,0.1933,24.0738,0.8168
sub004_2drt_02_vcv2_r1_video,0.1261,28.3648,0.8836,0.1955,24.5665,0.822
sub004_2drt_02_vcv2_r2_video,0.1259,28.1503,0.88,0.1949,24.3579,0.8191
