Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub004_2drt_03_vcv3_r1_video,0.1256,27.9518,0.8788,0.1935,24.2034,0.8175
sub004_2drt_03_vcv3_r2_video,0.1266,28.1236,0.8796,0.1952,24.3683,0.8206
sub005_2drt_01_vcv1_r1_video,0.1312,30.0562,0.9108,0.1961,26.5681,0.8569
sub005_2drt_01_vcv1_r2_video,0.1297,30.0181,0.9116,0.1957,26.4568,0.8528
sub005_2drt_02_vcv2_r1_video,0.1306,29.7093,0.9099,0.1947,26.2485,0.8543
sub005_2drt_02_vcv2_r2_video,0.1313,29.5046,0.9043,0.1954,26.0629,0.8508
sub005_2drt_03_vcv3_r1_video,0.1327,30.0117,0.9082,0.196,26.6291,0.858
sub005_2drt_03_vcv3_r2_video,0.131,29.5385,0.9042,0.1955,26.0651,0.8515
sub006_2drt_01_vcv1_r1_video,0.1273,27.4426,0.8755,0.1929,23.8418,0.8218
sub006_2drt_01_vcv1_r2_video,0.1278,28.3293,0.8818,0.196,24.6202,0.8241
sub006_2drt_02_vcv2_r1_video,0.1277,27.8506,0.8783,0.1948,24.1816,0.8226
sub006_2drt_02_vcv2_r2_video,0.1284,28.1073,0.8837,0.1954,24.4612,0.8264
sub006_2drt_03_vcv3_r1_video,0.1277,27.9251,0.8792,0.1951,24.2481,0.8231
sub006_2drt_03_vcv3_r2_video,0.1279,28.223,0.8845,0.1956,24.5403,0.827
sub007_2drt_01_vcv1_r1_video,0.1334,29.1773,0.9038,0.1967,25.8103,0.8555
sub007_2drt_01_vcv1_r2_video,0.1325,28.8377,0.9027,0.1958,25.4595,0.8519
sub007_2drt_02_vcv2_r1_video,0.1327,29.1612,0.9022,0.1968,25.7482,0.8542
sub007_2drt_02_vcv2_r2_video,0.1321,28.4697,0.8996,0.1949,25.1018,0.8489
sub007_2drt_03_vcv3_r1_video,0.1345,29.0059,0.9015,0.1964,25.7276,0.8557
sub007_2drt_03_vcv3_r2_video,0.1325,28.7793,0.9043,0.1952,25.4244,0.8546
sub008_2drt_01_vcv1_r1_video,0.1259,29.2021,0.907,0.1949,25.4147,0.8492
sub008_2drt_01_vcv1_r2_video,0.1252,29.0835,0.904,0.1943,25.2779,0.844
sub008_2drt_02_vcv2_r1_video,0.1264,29.2179,0.9069,0.1948,25.4703,0.8501
sub008_2drt_02_vcv2_r2_video,0.1254,29.0554,0.9042,0.1941,25.2654,0.8445
sub008_2drt_03_vcv3_r1_video,0.1263,29.1134,0.9074,0.1946,25.3593,0.8492
sub008_2drt_03_vcv3_r2_video,0.126,29.1553,0.9045,0.1949,25.3706,0.8457
sub009_2drt_01_vcv1_r1_video,0.1342,29.8341,0.9131,0.1942,26.6298,0.8597
sub009_2drt_01_vcv1_r2_video,0.1327,30.0876,0.9135,0.1951,26.7519,0.859
sub009_2drt_02_vcv2_r1_video,0.1343,30.0583,0.9147,0.195,26.8338,0.8619
sub009_2drt_02_vcv2_r2_video,0.1331,30.1718,0.913,0.1953,26.8546,0.8593
sub009_2drt_03_vcv3_r1_video,0.1339,30.1236,0.9152,0.1953,26.8567,0.8616
sub009_2drt_03_vcv3_r2_video,0.1325,30.2015,0.914,0.1956,26.8309,0.8587
sub010_2drt_01_vcv1_r1_video,0.1278,30.0241,0.92,0.1936,26.434,0.872
sub010_2drt_01_vcv1_r2_video,0.1274,30.425,0.9228,0.1951,26.7368,0.8729
sub010_2drt_02_vcv2_r1_video,0.1277,30.3308,0.9219,0.1948,26.6786,0.873
sub010_2drt_02_vcv2_r2_video,0.1277,30.3406,0.9213,0.1949,26.6726,0.8714
sub010_2drt_03_vcv3_r1_video,0.1277,30.4042,0.9229,0.1951,26.7368,0.8729
sub010_2drt_03_vcv3_r2_video,0.1275,29.9162,0.9185,0.1933,26.3173,0.8688
