Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub051_2drt_01_vcv1_r1_video,0.1317,29.4729,0.9135,0.1937,26.1386,0.8633
sub051_2drt_01_vcv1_r2_video,0.1343,29.0261,0.9095,0.1935,25.8647,0.8644
sub051_2drt_02_vcv2_r1_video,0.1322,29.0237,0.913,0.1917,25.808,0.8628
sub051_2drt_02_vcv2_r2_video,0.1343,28.597,0.9074,0.1921,25.4967,0.8628
sub051_2drt_03_vcv3_r1_video,0.1319,29.1346,0.9136,0.1921,25.8853,0.8621
sub051_2drt_03_vcv3_r2_video,0.1333,28.8504,0.9084,0.1928,25.6629,0.8619
sub052_2drt_01_vcv1_r1_video,0.1235,28.088,0.8804,0.1955,24.1058,0.8215
sub052_2drt_01_vcv1_r2_video,0.1241,27.961,0.8777,0.1953,24.0276,0.8238
sub052_2drt_02_vcv2_r1_video,0.1232,28.0647,0.8808,0.1954,24.0637,0.8214
sub052_2drt_02_vcv2_r2_video,0.1235,27.9193,0.8769,0.195,23.9592,0.8214
sub052_2drt_03_vcv3_r1_video,0.1233,28.186,0.8833,0.1958,24.1786,0.8239
sub052_2drt_03_vcv3_r2_video,0.123,27.8251,0.8782,0.1943,23.8543,0.8229
sub053_2drt_01_vcv1_r1_video,0.1245,29.182,0.8907,0.1938,25.3425,0.8289
sub053_2drt_01_vcv1_r2_video,0.124,28.6898,0.8872,0.1913,24.9319,0.8244
sub053_2drt_02_vcv2_r1_video,0.1241,28.8465,0.8884,0.1922,25.0583,0.8268
sub053_2drt_02_vcv2_r2_video,0.1239,28.8749,0.8874,0.1922,25.0772,0.8247
sub053_2drt_03_vcv3_r1_video,0.1244,29.9111,0.8959,0.1956,25.9868,0.8327
sub053_2drt_03_vcv3_r2_video,0.1233,28.2141,0.8814,0.1895,24.4976,0.8211
sub054_2drt_01_vcv1_r1_video,0.1268,28.586,0.8941,0.1908,25.0447,0.8365
sub054_2drt_01_vcv1_r2_video,0.1268,28.6776,0.8935,0.1908,25.1363,0.8405
sub054_2drt_02_vcv2_r1_video,0.1267,28.7121,0.8955,0.1917,25.1297,0.8382
sub054_2drt_02_vcv2_r2_video,0.1267,28.9051,0.8958,0.1919,25.3112,0.8422
sub054_2drt_03_vcv3_r1_video,0.127,29.041,0.8971,0.1929,25.4238,0.8418
sub054_2drt_03_vcv3_r2_video,0.1267,29.0239,0.8968,0.1923,25.4092,0.8433
sub055_2drt_01_vcv1_r1_video,0.1285,28.1116,0.8773,0.1946,24.5152,0.8161
sub055_2drt_01_vcv1_r2_video,0.1278,27.968,0.8763,0.1936,24.3629,0.8125
sub055_2drt_02_vcv2_r1_video,0.129,28.2377,0.878,0.1947,24.6709,0.819
sub055_2drt_02_vcv2_r2_video,0.1279,27.5805,0.873,0.1928,24.0192,0.811
sub055_2drt_03_vcv3_r1_video,0.1277,27.992,0.8783,0.1939,24.374,0.8158
sub055_2drt_03_vcv3_r2_video,0.1289,27.8266,0.874,0.1936,24.2993,0.8148
sub056_2drt_01_vcv1_r1_video,0.1227,28.4785,0.8857,0.1934,24.5345,0.8233
sub056_2drt_01_vcv1_r2_video,0.1228,28.8422,0.8867,0.1954,24.8113,0.8244
sub056_2drt_02_vcv2_r1_video,0.123,29.5351,0.892,0.1972,25.4376,0.8275
sub056_2drt_02_vcv2_r2_video,0.1219,28.1787,0.8829,0.1918,24.247,0.8209
sub056_2drt_03_vcv3_r1_video,0.1224,28.6641,0.8868,0.1942,24.6617,0.8222
sub056_2drt_03_vcv3_r2_video,0.1231,28.5307,0.8829,0.1942,24.5753,0.8237
sub057_2drt_01_vcv1_r1_video,0.1254,28.8355,0.8967,0.1947,25.02,0.8384
sub057_2drt_01_vcv1_r2_video,0.1234,29.1558,0.9018,0.1954,25.1669,0.8386
sub057_2drt_02_vcv2_r1_video,0.1256,28.9376,0.8979,0.1953,25.1107,0.8394
sub057_2drt_02_vcv2_r2_video,0.1243,29.1616,0.9019,0.195,25.2582,0.8418
sub057_2drt_03_vcv3_r1_video,0.125,29.1014,0.9002,0.1958,25.2094,0.8398
sub057_2drt_03_vcv3_r2_video,0.1234,29.0939,0.9026,0.1941,25.1645,0.8394
sub058_2drt_01_vcv1_r1_video,0.128,28.4147,0.8889,0.1939,24.8135,0.8333
sub058_2drt_01_vcv1_r2_video,0.129,28.6641,0.8931,0.1941,25.1218,0.8361
sub058_2drt_02_vcv2_r1_video,0.1288,28.7485,0.8907,0.195,25.1533,0.8366
sub058_2drt_02_vcv2_r2_video,0.1292,28.8899,0.8937,0.1948,25.3286,0.8383
sub058_2drt_03_vcv3_r1_video,0.1289,29.2771,0.8952,0.1959,25.6406,0.8409
sub058_2drt_03_vcv3_r2_video,0.1305,29.1547,0.8966,0.1952,25.67,0.8435
sub059_2drt_01_vcv1_r1_video,0.1286,28.6763,0.8941,0.1923,25.1886,0.8441
