Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub059_2drt_01_vcv1_r2_video,0.1282,29.2863,0.898,0.1936,25.7096,0.8488
sub059_2drt_02_vcv2_r1_video,0.1271,28.7462,0.8968,0.1921,25.1713,0.844
sub059_2drt_02_vcv2_r2_video,0.1279,28.962,0.8964,0.1927,25.4113,0.8466
sub059_2drt_03_vcv3_r1_video,0.127,29.2434,0.8999,0.1941,25.5686,0.8455
sub059_2drt_03_vcv3_r2_video,0.1264,29.614,0.9028,0.1949,25.8565,0.8467
sub060_2drt_01_vcv1_r1_video,0.1302,28.8868,0.8928,0.1941,25.4234,0.8396
sub060_2drt_01_vcv1_r2_video,0.1305,29.1067,0.8951,0.1948,25.6414,0.8414
sub060_2drt_02_vcv2_r1_video,0.1301,28.481,0.8891,0.193,25.0727,0.8376
sub060_2drt_02_vcv2_r2_video,0.1313,29.11,0.8946,0.1948,25.6897,0.8421
sub060_2drt_03_vcv3_r1_video,0.1312,28.425,0.8895,0.1927,25.0973,0.8392
sub060_2drt_03_vcv3_r2_video,0.132,28.4456,0.8868,0.1927,25.1731,0.8406
